Company,Rating,Location,Employee_Size,Industry,Review
Teliolabs,4.4,Indore,51 to 200,Information Technology Support Services,73
GirnarSoft,4.0,Indore,1001 to 5000,Computer Hardware Development,373
CTS,3.8,Indore,51 to 200,Information Technology Support Services,551
OneSource Virtual,4.1,Indore,1001 to 5000,Internet & Web Services,415
VideoVerse,4.9,Indore,201 to 500,Information Technology Support Services,32
Chetaru,4.3,Indore,51 to 200,Information Technology Support Services,21
ESDS Software Solution,4.0,Indore,1001 to 5000,Information Technology Support Services,349
Zeta Suite,3.7,Indore,1001 to 5000,Software Development,420
Clarigo Infotech Private Limited,4.9,Indore,1 to 50,Information Technology Support Services,17
Eastern Software Systems,3.6,Indore,201 to 500,Information Technology Support Services,245
