Company,Rating,Location,Employee_Size,Industry,Review
Tata Consultancy Services,3.9,Indore,10000+,Software Development,1.3L
Amazon,4.1,Indore,10000+,Internet & Web Services,1.8L
TaskUs,4.5,Indore,10000+,Information Technology Support Services,14.8T
DXC Technology,3.6,Indore,10000+,Information Technology Support Services,24.5T
Capgemini,4.0,Indore,10000+,Enterprise Software & Network Solutions,72.7T
Cognizant Technology Solutions,3.8,Indore,10000+,Information Technology Support Services,87.5T
Google,4.4,Indore,10000+,Internet & Web Services,47.3T
IBM,4.1,Indore,10000+,Information Technology Support Services,1.1L
YASH Technologies,3.8,Indore,5001 to 10000,Information Technology Support Services,2T
Impetus Technologies,4.1,Indore,1001 to 5000,Information Technology Support Services,1.2T
Cybage Software,4.0,Indore,5001 to 10000,Information Technology Support Services,3.7T
PhonePe,4.1,Indore,1001 to 5000,Internet & Web Services,784
ConsultAdd,3.9,Indore,51 to 200,Information Technology Support Services,319
Canopus Infosystems,4.5,Indore,51 to 200,Information Technology Support Services,100
Snapdeal,4.2,Indore,501 to 1000,Internet & Web Services,1.7T
NTT DATA,3.9,Indore,10000+,Information Technology Support Services,14.6T
Einfochips,3.5,Indore,1001 to 5000,Information Technology Support Services,1T
Info Edge,4.0,Indore,5001 to 10000,Internet & Web Services,1.6T
BA Continuum India,4.2,Indore,5001 to 10000,Information Technology Support Services,2.2T
Kyndryl,3.8,Indore,10000+,Information Technology Support Services,2.9T
Calsoft,3.5,Indore,1001 to 5000,Enterprise Software & Network Solutions,604
Vatsal Technosoft,4.4,Indore,1001 to 5000,Information Technology Support Services,479
Civica,4.2,Indore,5001 to 10000,Computer Hardware Development,1.2T
Uber,4.2,Indore,10000+,Internet & Web Services,26.8T
Indeed,4.2,Indore,10000+,Internet & Web Services,3.8T
FICO,4.1,Indore,1001 to 5000,Computer Hardware Development,1.5T
Tata Communications,4.1,Indore,5001 to 10000,"Cable, Internet & Telephone Providers",3.3T
Citrix,3.6,Indore,5001 to 10000,Enterprise Software & Network Solutions,4.6T
BestPeers Infosystem,4.1,Indore,51 to 200,Information Technology Support Services,66
Ingram Micro,3.9,Indore,10000+,Computer Hardware Development,3.6T
Happiest Minds Technologies,4.2,Indore,5001 to 10000,Information Technology Support Services,1.8T
LTIMindtree,3.6,Indore,10000+,Information Technology Support Services,1.8T
ServiceNow,4.4,Indore,10000+,Enterprise Software & Network Solutions,4.1T
Ignatiuz Software,3.6,Indore,51 to 200,Information Technology Support Services,76
CDN Software Solutions,4.0,Indore,201 to 500,Information Technology Support Services,75
Hewlett Packard Enterprise | HPE,4.2,Indore,10000+,Information Technology Support Services,17.2T
Thomson Reuters,4.3,Indore,10000+,Enterprise Software & Network Solutions,15.3T
Mango IT Solutions,4.1,Indore,51 to 200,Software Development,60
Ktek Resourcing,3.6,Indore,201 to 500,Information Technology Support Services,95
Daffodil Software,3.8,Indore,501 to 1000,Information Technology Support Services,540
ValueMomentum,3.7,Indore,1001 to 5000,Information Technology Support Services,819
Instacart,3.6,Indore,1001 to 5000,Internet & Web Services,6.6T
SynergyTop,4.7,Indore,51 to 200,Software Development,77
Indra,3.8,Indore,10000+,Information Technology Support Services,5.2T
Tech Data,3.6,Indore,10000+,Enterprise Software & Network Solutions,1.9T
ShopKirana E-Trading,3.9,Indore,201 to 500,Internet & Web Services,71
Birlasoft,3.6,Indore,1001 to 5000,Enterprise Software & Network Solutions,3.1T
Collegedunia,3.5,Indore,201 to 500,Internet & Web Services,1.1T
Fujitsu,3.7,Indore,10000+,Enterprise Software & Network Solutions,6.2T
L&T Technology Services,3.5,Indore,10000+,Information Technology Support Services,5.3T
G-P,4.3,Indore,1001 to 5000,Enterprise Software & Network Solutions,277
Batchmaster Software,3.6,Indore,201 to 500,Computer Hardware Development,72
Incedo,3.8,Indore,1001 to 5000,Information Technology Support Services,1.5T
Accolite Digital,3.8,Indore,1001 to 5000,Information Technology Support Services,1.3T
Urban Company,3.8,Indore,501 to 1000,Internet & Web Services,1.3T
Gyrix TechnoLabs,4.1,Indore,1 to 50,Information Technology Support Services,45
Apex Systems,3.8,Indore,1001 to 5000,Enterprise Software & Network Solutions,3.8T
Rahul Infotech,3.9,Indore,51 to 200,Computer Hardware Development,486
Ness Digital Engineering,4.1,Indore,5001 to 10000,Information Technology Support Services,2.3T
Bacancy,3.9,Indore,501 to 1000,Information Technology Support Services,727
Innogent Technologies Pvt Ltd,4.9,Indore,51 to 200,Information Technology Support Services,16
USM Business Systems,3.7,Indore,51 to 200,Computer Hardware Development,152
iEnergizer,4.7,Indore,10000+,Information Technology Support Services,5.1T
Beyond Key,4.7,Indore,201 to 500,Information Technology Support Services,70
New York Technology Partners,4.0,Indore,51 to 200,Computer Hardware Development,59
Working Not Working,4.0,Indore,1 to 50,Internet & Web Services,198
Wipro Digital,3.8,Indore,5001 to 10000,Information Technology Support Services,1T
Advanz101 Systems,4.8,Indore,51 to 200,Software Development,46
EdCast,4.0,Indore,51 to 200,Enterprise Software & Network Solutions,202
Workday,4.2,Indore,10000+,Enterprise Software & Network Solutions,3.4T
Metafic,4.3,Indore,1 to 50,Information Technology Support Services,70
Technorizen Software Solutions,4.7,Indore,1 to 50,Information Technology Support Services,41
Compunnel,4.3,Indore,1001 to 5000,Information Technology Support Services,650
GlobalLogic,3.9,Indore,10000+,Information Technology Support Services,6.6T
TATA ELXSI,4.1,Indore,10000+,Information Technology Support Services,2.8T
WebCraft IT,4.4,Indore,,Information Technology Support Services,65
Razorpay,3.9,Indore,501 to 1000,Internet & Web Services,607
MAQ Software,2.7,Indore,501 to 1000,Information Technology Support Services,1.2T
IGT Solutions,4.6,Indore,10000+,Information Technology Support Services,4.4T
Rave Digital,4.5,Indore,51 to 200,Information Technology Support Services,39
Thoughtworks,4.3,Indore,5001 to 10000,Information Technology Support Services,4T
Protonshub Technologies,4.5,Indore,51 to 200,Information Technology Support Services,64
Infor,4.0,Indore,10000+,Enterprise Software & Network Solutions,4.7T
Raja Software Labs,3.8,Indore,51 to 200,Information Technology Support Services,607
OpenText,3.6,Indore,10000+,Enterprise Software & Network Solutions,4.2T
